stopwords,
bi
boi
ca
cac
cai
can
cang
chi
chiec
cho
chu
chua
chuyen
co
co_the
cu
cua
cung
cung
đa
đang
đay
đe
đen_noi
đeu
đieu
do
duoc
duoi
gi
khi
khong
la
lai
len
luc
ma
moi
mot_cach
nay
nen
neu
ngay
nhieu
nhu
nhung
nhung
noi
nua
phai
qua
ra
rang
rat
roi
sau
se
so
su
tai
theo
thi
tren
truoc
tu
tung
va
van
vao
vay
vi
viec
voi
vua
